NAMESPACE     NAME                                 READY   STATUS    RESTARTS   AGE
kube-system   aws-node-6j9nb                       1/1     Running   0          2m49s
kube-system   aws-node-cfzz2                       1/1     Running   0          2m55s
kube-system   aws-node-h8h2m                       1/1     Running   0          2m29s
kube-system   aws-node-pr4vb                       1/1     Running   0          38m
kube-system   cluster-autoscaler-d8cc67649-2gbrj   1/1     Running   0          9m30s
kube-system   coredns-f47955f89-7xvmq              1/1     Running   0          4m34s
kube-system   coredns-f47955f89-c87ch              1/1     Running   0          4m35s
kube-system   kube-proxy-jp2kn                     1/1     Running   0          2m29s
kube-system   kube-proxy-jz2g4                     1/1     Running   0          38m
kube-system   kube-proxy-pn8qh                     1/1     Running   0          2m49s
kube-system   kube-proxy-rfhjf                     1/1     Running   0          2m55s
udacity       services-galore-7c8fcbffdf-56gjd     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-7sthd     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-8t427     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-9czsv     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-bmvwx     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-c8bfq     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-cdk6t     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-d6kln     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-gf9q2     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-h8qh9     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-hdtf2     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-jx2bc     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-kz422     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-lf572     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-nj9ff     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-nmf7c     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-ns9tr     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-ntz6s     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-q7p29     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-rd9c6     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-rdddm     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-tcznw     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-ttvdc     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-vvkkd     1/1     Running   0          3m47s
udacity       services-galore-7c8fcbffdf-xrvlq     1/1     Running   0          3m47s
